question;choice_a;choice_b;choice_c;choice_d;correct_choice
What is a common sign of a cat's fear?;Purring;Scratching;Hiding;Vocalization;Hiding
What is a group of cats called?;Flock;Pack;Clowder;Pride;Clowder
What breed is known for its folded ears?;Russian Blue;British Shorthair;Maine Coon;Scottish Fold;Scottish Fold
What is a common sign of a cat's fear?;Hiding;Scratching;Purring;Vocalization;Hiding
What is the average cost of cat care per year?;$1000;$500;$1500;$2000;$1000
What is the average lifespan of a domestic cat?;20-25 years;10-12 years;15-20 years;12-15 years;12-15 years
Which breed of cat has a hairless appearance?;Abyssinian;Maine Coon;Scottish Fold;Sphynx;Sphynx
What is a common behavior of a cat when it is relaxed?;Hiding;Purring;Vocalization;Scratching;Purring
What is the average number of cats in a typical household?;2;3;4;1;2
What is a common sign of a cat's discomfort?;Vocalization;Scratching;Purring;Hiding;Hiding
What breed is known for its 'chirping' vocalizations?;Bengal;Sphynx;Siamese;Maine Coon;Sphynx
What is the largest domestic cat breed?;Sphynx;Savannah;Persian;Ragdoll;Savannah
What is a common sign of feline hyperthyroidism?;Increased appetite;Weight loss;Both B and C;All of the above;Both B and C
What is the average cost of cat care per year?;$2000;$1000;$1500;$500;$1000
What breed of cat is known for its lack of tail?;Manx;Bengal;Siamese;Maine Coon;Manx
What is the best way to keep your cat entertained?;Toys;Cuddling;Playtime;Leaving it alone;Toys
What is a common behavior of a cat when it is relaxed?;Purring;Vocalization;Scratching;Hiding;Purring
How many breeds of domestic cats are officially recognized?;30;40;50;60;40
What is the largest domestic cat breed?;Ragdoll;Persian;Sphynx;Savannah;Savannah
What is the most common color of domestic cats?;Tabby;Orange;Black;Gray;Tabby
What breed of cat is known for its blue eyes?;Maine Coon;Ragdoll;Bengal;Siamese;Siamese
How many breeds of domestic cats are officially recognized?;30;50;40;60;40
What breed of cat is known for being vocal and talkative?;Siamese;Sphynx;Ragdoll;Bengal;Siamese
What is a common behavior of a cat when it is relaxed?;Scratching;Purring;Vocalization;Hiding;Purring
What breed of cat is known for being vocal and talkative?;Sphynx;Siamese;Bengal;Ragdoll;Siamese
What is the most common color of domestic cats?;Black;Gray;Tabby;Orange;Tabby
What is the average lifespan of a domestic cat?;15-20 years;20-25 years;12-15 years;10-12 years;12-15 years
What breed is known for its 'chirping' vocalizations?;Bengal;Maine Coon;Siamese;Sphynx;Sphynx
How many breeds of domestic cats are officially recognized?;30;50;40;60;40
What is the most common color of domestic cats?;Tabby;Orange;Black;Gray;Tabby
What is a common sign of a cat's fear?;Purring;Hiding;Scratching;Vocalization;Hiding
Which breed of cat has a hairless appearance?;Sphynx;Scottish Fold;Maine Coon;Abyssinian;Sphynx
What is the most common color of domestic cats?;Black;Tabby;Gray;Orange;Tabby
What is a common sign of a cat's discomfort?;Scratching;Vocalization;Hiding;Purring;Hiding
What breed of cat is known for its lack of tail?;Bengal;Siamese;Manx;Maine Coon;Manx
What is the average number of cats in a typical household?;3;2;4;1;2
What is the primary function of a cat's tail?;Both A and B;Communication;Balance;None of the above;Both A and B
What is the primary function of a cat's tail?;Communication;None of the above;Both A and B;Balance;Both A and B
What is the largest domestic cat breed?;Ragdoll;Savannah;Persian;Sphynx;Savannah
What is the most common color of domestic cats?;Gray;Orange;Tabby;Black;Tabby
Which breed of cat has a hairless appearance?;Abyssinian;Scottish Fold;Sphynx;Maine Coon;Sphynx
What is a group of cats called?;Clowder;Flock;Pride;Pack;Clowder
What breed of cat is known for being vocal and talkative?;Bengal;Sphynx;Siamese;Ragdoll;Siamese
What breed of cat is known for its blue eyes?;Bengal;Maine Coon;Ragdoll;Siamese;Siamese
What is a common behavior of a cat when it is relaxed?;Scratching;Purring;Hiding;Vocalization;Purring
What is the most common color of domestic cats?;Gray;Orange;Tabby;Black;Tabby
What breed of cat is known for its blue eyes?;Siamese;Ragdoll;Bengal;Maine Coon;Siamese
What breed of cat is known for being vocal and talkative?;Bengal;Siamese;Sphynx;Ragdoll;Siamese
