question;choice_a;choice_b;choice_c;choice_d;correct_choice
Jaki jest średni czas życia kota domowego?;10-12 lat;12-15 lat;15-20 lat;20-25 lat;12-15 lat
Która rasa kota znana jest z braku ogona?;Syjamski;Manx;Bengalski;Maine Coon;Manx
Jaka jest największa rasa kota domowego?;Perski;Ragdoll;Savannah;Sphynx;Savannah
Która rasa kota ma bezwłosy wygląd?;Sphynx;Scottish Fold;Abisyn;Maine Coon;Sphynx
Która rasa kota znana jest z niebieskich oczu?;Syjamski;Bengalski;Maine Coon;Ragdoll;Syjamski
Jaki jest najczęstszy kolor kotów domowych?;Pomarańczowy;Czarny;Szary;Tabby;Tabby
Która rasa znana jest z zagiętych uszu?;Brytyjski Shorthair;Scottish Fold;Maine Coon;Rosyjski Niebieski;Scottish Fold
Ile ras kotów domowych jest oficjalnie uznawanych?;30;40;50;60;40
Jak nazywa się grupa kotów?;Stado;Stado ptaków;Grupa kotów;Paczkowanie;Grupa kotów
Która rasa kota znana jest z bycia głośnym i towarzyskim?;Sphynx;Syjamski;Ragdoll;Bengalski;Syjamski
Która rasa znana jest ze swoich 'ćwierkających' wokalizacji?;Sphynx;Bengalski;Maine Coon;Syjamski;Sphynx
Jaki jest powszechny znak dyskomfortu u kota?;Mruczenie;Ukrywanie się;Wokalizacja;Drapanie;Ukrywanie się
Jaki jest średni koszt opieki nad kotem w ciągu roku?;500 USD;1000 USD;1500 USD;2000 USD;1000 USD
Jakie zachowanie jest powszechne u kota, gdy jest zrelaksowany?;Mruczenie;Drapanie;Wokalizacja;Ukrywanie się;Mruczenie
Jaki jest powszechny znak szczęśliwego kota?;Mruczenie;Ukrywanie się;Wokalizacja;Miau;Mruczenie
Jaka jest średnia liczba kotów w typowym gospodarstwie domowym?;1;2;3;4;2
Jaki jest powszechny znak nadczynności tarczycy u kotów?;Przyrost masy ciała;Utrata masy ciała;Zwiększony apetyt;Wszystkie powyższe;Wszystkie powyższe
Jaki jest powszechny znak strachu u kota?;Mruczenie;Ukrywanie się;Drapanie;Wokalizacja;Ukrywanie się
Jaka jest podstawowa funkcja ogona kota?;Równowaga;Komunikacja;Obydwie A i B;Żadne z powyższych;Obydwie A i B
Jaki jest najlepszy sposób na zapewnienie kotu rozrywki?;Zabawki;Przytulanie;Zostawienie go samego;Czas na zabawę;Zabawki
